wavelength (A),flux density (erg/cm2/s/A)
2500.4622,1.1143E-13
2501.8357,9.8766E-14
2503.2092,1.0329E-13
2504.5828,1.0570E-13
2505.9563,8.7539E-14
2507.3298,8.5572E-14
2508.7034,9.6890E-14
2510.0769,9.5143E-14
2511.4504,8.7830E-14
2512.824,8.2046E-14
2514.1975,7.1032E-14
2515.571,6.2938E-14
2516.9446,6.1022E-14
2518.3181,6.3444E-14
2519.6914,6.7804E-14
2521.0649,7.4021E-14
2522.4385,6.4349E-14
2523.812,5.9424E-14
2525.1855,6.5442E-14
2526.5588,6.6857E-14
2527.9324,6.2450E-14
2529.3059,6.5578E-14
2530.6792,8.2505E-14
2532.0527,9.0314E-14
2533.4263,9.0426E-14
2534.7996,8.9436E-14
2536.1731,8.8430E-14
2537.5464,8.9158E-14
2538.9199,9.1940E-14
2540.2935,9.3863E-14
2541.6667,9.5470E-14
2543.0403,1.0087E-13
2544.4136,1.0377E-13
2545.7869,9.9033E-14
2547.1604,9.7560E-14
2548.5337,9.4801E-14
2549.9072,1.0240E-13
2551.2805,1.3441E-13
2552.6538,1.4810E-13
2554.0273,1.5561E-13
2555.4006,1.5342E-13
2556.7739,1.5261E-13
2558.1472,1.6200E-13
2559.5208,1.6959E-13
2560.894,1.6376E-13
2562.2673,1.4002E-13
2563.6406,1.4278E-13
2565.0139,1.7266E-13
2566.3872,2.0341E-13
2567.7605,2.0970E-13
2569.1338,2.2761E-13
2570.5071,2.4113E-13
2571.8804,2.4141E-13
2573.2537,2.5066E-13
2574.627,2.1158E-13
2576.0002,1.6663E-13
2577.3735,1.8814E-13
2578.7468,2.3679E-13
2580.1201,2.7729E-13
2581.4932,2.7245E-13
2582.8665,2.4058E-13
2584.2397,2.0209E-13
2585.613,1.5829E-13
2586.9861,1.7835E-13
2588.3594,2.2916E-13
2589.7327,2.7236E-13
2591.1057,2.3897E-13
2592.479,2.0452E-13
2593.8521,1.8250E-13
2595.2253,1.8599E-13
2596.5986,1.6997E-13
2597.9717,1.2589E-13
2599.3447,1.0819E-13
2600.718,1.3971E-13
2602.0911,1.7997E-13
2603.4644,1.8484E-13
2604.8374,1.6255E-13
2606.2104,1.3198E-13
2607.5837,1.2870E-13
2608.9568,1.4584E-13
2610.3298,1.4655E-13
2611.7029,1.2085E-13
2613.0759,1.1895E-13
2614.4492,1.4456E-13
2615.8223,1.7748E-13
2617.1953,1.7142E-13
2618.5684,1.7255E-13
2619.9414,2.0071E-13
2621.3145,2.0237E-13
2622.6875,2.1193E-13
2624.0605,2.0474E-13
2625.4336,1.8919E-13
2626.8064,1.6893E-13
2628.1794,1.5615E-13
2629.5525,1.4706E-13
2630.9255,1.3829E-13
2632.2986,1.6313E-13
2633.6714,2.3223E-13
2635.0444,2.9719E-13
2636.4175,3.5489E-13
2637.7903,4.3183E-13
2639.1633,4.6489E-13
2640.5361,4.5735E-13
2641.9092,4.8999E-13
2643.282,5.3597E-13
2644.655,4.9309E-13
2646.0278,4.4987E-13
2647.4009,4.1213E-13
2648.7737,3.8133E-13
2650.1465,3.8634E-13
2651.5195,4.0711E-13
2652.8923,4.3519E-13
2654.2651,4.8475E-13
2655.6379,5.0722E-13
2657.011,5.1185E-13
2658.3838,4.9525E-13
2659.7566,4.8791E-13
2661.1294,4.5692E-13
2662.5022,4.2900E-13
2663.875,4.1813E-13
2665.2478,4.3064E-13
