# wavelength (A)  flux density (erg/cm2/s/A)
       2500.4622  1.11430e-13
       2501.8357  9.87660e-14
       2503.2092  1.03290e-13
       2504.5828  1.05700e-13
       2505.9563  8.75390e-14
       2507.3298  8.55720e-14
       2508.7034  9.68900e-14
       2510.0769  9.51430e-14
       2511.4504  8.78300e-14
       2512.8240  8.20460e-14
       2514.1975  7.10320e-14
       2515.5710  6.29380e-14
       2516.9446  6.10220e-14
       2518.3181  6.34440e-14
       2519.6914  6.78040e-14
       2521.0649  7.40210e-14
       2522.4385  6.43490e-14
       2523.8120  5.94240e-14
       2525.1855  6.54420e-14
       2526.5588  6.68570e-14
       2527.9324  6.24500e-14
       2529.3059  6.55780e-14
       2530.6792  8.25050e-14
       2532.0527  9.03140e-14
       2533.4263  9.04260e-14
       2534.7996  8.94360e-14
       2536.1731  8.84300e-14
       2537.5464  8.91580e-14
       2538.9199  9.19400e-14
       2540.2935  9.38630e-14
       2541.6667  9.54700e-14
       2543.0403  1.00870e-13
       2544.4136  1.03770e-13
       2545.7869  9.90330e-14
       2547.1604  9.75600e-14
       2548.5337  9.48010e-14
       2549.9072  1.02400e-13
       2551.2805  1.34410e-13
       2552.6538  1.48100e-13
       2554.0273  1.55610e-13
       2555.4006  1.53420e-13
       2556.7739  1.52610e-13
       2558.1472  1.62000e-13
       2559.5208  1.69590e-13
       2560.8940  1.63760e-13
       2562.2673  1.40020e-13
       2563.6406  1.42780e-13
       2565.0139  1.72660e-13
       2566.3872  2.03410e-13
       2567.7605  2.09700e-13
       2569.1338  2.27610e-13
       2570.5071  2.41130e-13
       2571.8804  2.41410e-13
       2573.2537  2.50660e-13
       2574.6270  2.11580e-13
       2576.0002  1.66630e-13
       2577.3735  1.88140e-13
       2578.7468  2.36790e-13
       2580.1201  2.77290e-13
       2581.4932  2.72450e-13
       2582.8665  2.40580e-13
       2584.2397  2.02090e-13
       2585.6130  1.58290e-13
       2586.9861  1.78350e-13
       2588.3594  2.29160e-13
       2589.7327  2.72360e-13
       2591.1057  2.38970e-13
       2592.4790  2.04520e-13
       2593.8521  1.82500e-13
       2595.2253  1.85990e-13
       2596.5986  1.69970e-13
       2597.9717  1.25890e-13
       2599.3447  1.08190e-13
       2600.7180  1.39710e-13
       2602.0911  1.79970e-13
       2603.4644  1.84840e-13
       2604.8374  1.62550e-13
       2606.2104  1.31980e-13
       2607.5837  1.28700e-13
       2608.9568  1.45840e-13
       2610.3298  1.46550e-13
       2611.7029  1.20850e-13
       2613.0759  1.18950e-13
       2614.4492  1.44560e-13
       2615.8223  1.77480e-13
       2617.1953  1.71420e-13
       2618.5684  1.72550e-13
       2619.9414  2.00710e-13
       2621.3145  2.02370e-13
       2622.6875  2.11930e-13
       2624.0605  2.04740e-13
       2625.4336  1.89190e-13
       2626.8064  1.68930e-13
       2628.1794  1.56150e-13
       2629.5525  1.47060e-13
       2630.9255  1.38290e-13
       2632.2986  1.63130e-13
       2633.6714  2.32230e-13
       2635.0444  2.97190e-13
       2636.4175  3.54890e-13
       2637.7903  4.31830e-13
       2639.1633  4.64890e-13
       2640.5361  4.57350e-13
       2641.9092  4.89990e-13
       2643.2820  5.35970e-13
       2644.6550  4.93090e-13
       2646.0278  4.49870e-13
       2647.4009  4.12130e-13
       2648.7737  3.81330e-13
       2650.1465  3.86340e-13
       2651.5195  4.07110e-13
       2652.8923  4.35190e-13
       2654.2651  4.84750e-13
       2655.6379  5.07220e-13
       2657.0110  5.11850e-13
       2658.3838  4.95250e-13
       2659.7566  4.87910e-13
       2661.1294  4.56920e-13
       2662.5022  4.29000e-13
       2663.8750  4.18130e-13
       2665.2478  4.30640e-13
       2666.6206  4.23930e-13
       2667.9934  4.25530e-13
       2669.3662  4.29050e-13
       2670.7388  4.37580e-13
       2672.1116  4.17540e-13
       2673.4844  4.39520e-13
       2674.8572  4.93160e-13
       2676.2297  4.86790e-13
       2677.6025  4.38770e-13
       2678.9753  4.11320e-13
       2680.3479  4.19870e-13
       2681.7207  4.39560e-13
       2683.0933  4.53970e-13
       2684.4661  4.47530e-13
       2685.8386  4.61340e-13
       2687.2114  4.54990e-13
       2688.5840  4.26890e-13
       2689.9565  3.99870e-13
       2691.3293  4.14330e-13
       2692.7019  4.41820e-13
       2694.0745  4.30130e-13
       2695.4470  3.92190e-13
       2696.8196  3.86260e-13
       2698.1924  4.13080e-13
       2699.5649  4.66470e-13
       2700.9375  4.98020e-13
       2702.3101  4.92370e-13
       2703.6826  5.09160e-13
       2705.0549  5.16020e-13
       2706.4275  4.69950e-13
       2707.8000  4.44300e-13
       2709.1726  4.41960e-13
       2710.5452  4.39730e-13
       2711.9177  4.44110e-13
       2713.2900  4.25910e-13
       2714.6626  4.00740e-13
       2716.0349  3.72850e-13
       2717.4075  3.53750e-13
       2718.7800  2.77820e-13
       2720.1523  2.32320e-13
       2721.5249  2.58380e-13
       2722.8972  2.93660e-13
       2724.2695  3.09130e-13
       2725.6421  3.27480e-13
       2727.0144  3.50240e-13
       2728.3867  3.90470e-13
       2729.7590  4.48530e-13
       2731.1316  4.34820e-13
       2732.5039  3.89820e-13
       2733.8762  3.43240e-13
       2735.2485  3.12420e-13
       2736.6208  2.81260e-13
       2737.9932  2.47220e-13
       2739.3655  2.39690e-13
       2740.7378  2.25840e-13
       2742.1101  2.14350e-13
       2743.4822  1.96840e-13
       2744.8545  2.11500e-13
       2746.2268  2.25820e-13
       2747.5989  2.09200e-13
       2748.9712  2.03640e-13
       2750.3435  2.11830e-13
       2751.7156  2.79890e-13
       2753.0879  3.26930e-13
       2754.4600  2.88660e-13
       2755.8323  2.53760e-13
       2757.2043  2.84760e-13
       2758.5764  3.91260e-13
       2759.9487  4.36270e-13
       2761.3208  4.04390e-13
       2762.6929  3.76120e-13
       2764.0649  4.13220e-13
       2765.4370  4.51050e-13
