radius [cm],density [g/cm3],temperature [K]
2.118055E+08,1.959849E+01,2.806273E+07
1.463201E+09,1.957532E+01,2.804286E+07
2.714596E+09,1.952211E+01,2.799721E+07
3.965992E+09,1.943708E+01,2.792418E+07
5.217387E+09,1.931658E+01,2.782046E+07
6.468783E+09,1.915527E+01,2.768111E+07
7.720178E+09,1.893034E+01,2.748568E+07
8.971573E+09,1.871370E+01,2.729661E+07
1.022297E+10,1.844609E+01,2.706147E+07
1.147436E+10,1.812202E+01,2.677448E+07
1.272576E+10,1.780592E+01,2.649240E+07
1.397716E+10,1.744430E+01,2.616669E+07
1.522855E+10,1.702084E+01,2.578113E+07
1.647995E+10,1.664573E+01,2.543617E+07
1.773134E+10,1.621226E+01,2.503286E+07
1.898274E+10,1.576079E+01,2.460745E+07
2.023413E+10,1.527966E+01,2.414788E+07
2.148553E+10,1.473758E+01,2.365839E+07
2.273692E+10,1.373385E+01,2.302825E+07
2.398832E+10,1.279143E+01,2.242872E+07
2.523971E+10,1.186781E+01,2.185954E+07
2.649111E+10,1.106926E+01,2.131507E+07
2.774251E+10,1.035020E+01,2.079434E+07
2.899390E+10,9.706818E+00,2.029570E+07
3.024530E+10,9.133825E+00,1.981758E+07
3.149669E+10,8.648943E+00,1.937460E+07
3.274809E+10,8.195924E+00,1.891404E+07
3.399948E+10,7.865776E+00,1.850815E+07
3.525088E+10,7.560645E+00,1.807501E+07
3.650227E+10,7.307784E+00,1.768946E+07
3.775367E+10,7.058000E+00,1.730756E+07
3.900507E+10,6.812149E+00,1.694205E+07
4.025646E+10,6.552781E+00,1.655910E+07
4.150786E+10,6.295026E+00,1.618496E+07
4.275925E+10,6.039290E+00,1.581970E+07
4.401065E+10,5.775812E+00,1.544872E+07
4.526204E+10,5.535647E+00,1.511500E+07
4.651344E+10,5.288797E+00,1.477547E+07
4.776483E+10,5.043355E+00,1.444085E+07
4.901623E+10,4.807696E+00,1.412196E+07
5.026762E+10,4.574353E+00,1.380792E+07
5.151902E+10,4.346489E+00,1.350233E+07
5.277041E+10,4.122617E+00,1.320243E+07
5.402181E+10,3.920764E+00,1.293179E+07
5.527321E+10,3.716447E+00,1.265666E+07
5.652460E+10,3.514154E+00,1.238233E+07
5.777600E+10,3.319507E+00,1.211565E+07
5.902739E+10,3.118498E+00,1.183662E+07
6.027879E+10,2.939497E+00,1.158452E+07
6.153018E+10,2.768247E+00,1.133925E+07
6.278158E+10,2.604555E+00,1.110052E+07
6.403297E+10,2.448389E+00,1.086826E+07
6.528437E+10,2.299781E+00,1.064241E+07
6.653577E+10,2.158433E+00,1.042265E+07
6.778716E+10,2.024406E+00,1.020896E+07
6.903856E+10,1.897328E+00,1.000094E+07
7.028995E+10,1.793867E+00,9.827173E+06
7.154134E+10,1.664803E+00,9.603097E+06
7.279274E+10,1.571374E+00,9.435942E+06
7.404414E+10,1.464511E+00,9.237807E+06
7.529553E+10,1.363323E+00,9.042988E+06
7.654692E+10,1.274329E+00,8.865113E+06
7.779833E+10,1.199349E+00,8.710169E+06
7.904972E+10,1.109530E+00,8.516132E+06
8.030111E+10,1.045830E+00,8.373491E+06
8.155251E+10,9.686522E-01,8.193237E+06
8.280391E+10,9.107921E-01,8.052699E+06
8.405530E+10,8.495309E-01,7.897766E+06
